1 (4488)
104 (3968)
120 (4064)
2 (3928)
23 (3376)
24 (5040)
31 (3808)
36 (8200)
38 (6824)
41 (5880)
5 (3796)
55 (3552)
56 (4864)
57 (3800)
67 (5316)
71 (5076)
79 (4744)
88 (4640)
90 (8416)
94 (8216)
97 (7768)
36 38 97 (6272)
36 41 57 (3432)
36 41 67 (3528)
36 41 90 (5664)
36 41 94 (5664)
36 41 97 (5040)
36 56 90 (4864)
36 56 94 (4864)
36 56 97 (4864)
36 57 90 (3800)
36 57 94 (3800)
36 57 97 (3680)
36 67 104 (3472)
36 67 71 (4034)
36 67 79 (3444)
36 67 88 (3408)
36 67 90 (5124)
36 67 94 (5124)
36 67 97 (4684)
36 71 90 (4884)
36 71 94 (4884)
36 71 97 (4444)
36 79 88 (3776)
36 79 90 (4744)
36 79 94 (4744)
36 79 97 (4256)
36 88 90 (4640)
36 88 94 (4640)
36 88 97 (4152)
36 90 104 (3776)
36 90 120 (3968)
36 90 94 (8192)
36 90 97 (7576)
36 94 104 (3776)
36 94 120 (3968)
36 94 97 (7568)
36 97 104 (3368)
36 97 120 (3880)
38 41 57 (3432)
38 41 90 (4568)
38 41 94 (4376)
38 41 97 (4208)
38 56 90 (3744)
38 56 94 (3744)
38 56 97 (3744)
38 57 90 (3528)
38 57 94 (3528)
38 57 97 (3408)
38 67 71 (3680)
38 67 90 (4424)
38 67 94 (4232)
38 67 97 (4128)
38 71 90 (4184)
38 71 94 (3992)
38 71 97 (3888)
38 90 104 (3480)
38 90 120 (3848)
38 90 94 (6632)
38 90 97 (6464)
38 94 120 (3752)
38 94 97 (6272)
38 97 120 (3760)
41 57 90 (3432)
41 57 94 (3432)
41 67 90 (3720)
41 67 94 (3528)
41 71 90 (3528)
41 90 94 (5688)
41 90 97 (5232)
41 94 97 (5040)
5 36 90 (3740)
5 36 94 (3740)
5 36 97 (3552)
5 90 94 (3748)
5 90 97 (3600)
5 94 97 (3552)
56 90 94 (4864)
56 90 97 (4864)
56 94 97 (4864)
57 90 94 (3800)
57 90 97 (3680)
57 94 97 (3680)
67 71 90 (4226)
67 71 94 (4034)
67 71 97 (3858)
67 79 90 (3444)
67 79 94 (3444)
67 88 90 (3408)
67 88 94 (3408)
67 90 104 (3664)
67 90 94 (5124)
67 90 97 (4876)
67 94 104 (3472)
67 94 97 (4684)
67 97 104 (3416)
71 90 104 (3472)
71 90 94 (4884)
71 90 97 (4636)
71 94 97 (4444)
79 88 90 (3776)
79 88 94 (3776)
79 90 94 (4744)
79 90 97 (4256)
79 94 97 (4256)
88 90 94 (4640)
88 90 97 (4152)
88 94 97 (4152)
90 94 104 (3776)
90 94 120 (3968)
90 94 97 (7568)
90 97 104 (3560)
90 97 120 (3976)
94 97 104 (3368)
94 97 120 (3880)
1 31 36 90 (3496)
1 31 36 94 (3496)
1 31 41 90 (3472)
1 31 90 94 (3496)
1 36 41 90 (3984)
1 36 41 94 (3984)
1 36 41 97 (3456)
1 36 67 90 (3588)
1 36 67 94 (3588)
1 36 90 94 (4296)
1 36 90 97 (3768)
1 36 94 97 (3768)
1 41 67 90 (3504)
1 41 90 94 (3984)
1 41 90 97 (3648)
1 41 94 97 (3456)
1 67 90 94 (3588)
1 67 90 97 (3412)
1 90 94 97 (3768)
2 36 38 90 (3792)
2 36 38 94 (3792)
2 36 38 97 (3696)
2 36 90 94 (3896)
2 36 90 97 (3808)
2 36 94 97 (3800)
2 38 90 94 (3816)
2 38 90 97 (3696)
2 38 94 97 (3696)
2 90 94 97 (3800)
23 36 90 94 (3376)
24 36 90 94 (4816)
24 36 90 97 (4496)
24 36 94 97 (4488)
24 38 90 97 (3488)
24 90 94 97 (4488)
31 36 90 94 (3608)
36 38 41 57 (3432)
36 38 41 90 (4352)
36 38 41 94 (4352)
36 38 41 97 (4016)
36 38 56 90 (3744)
36 38 56 94 (3744)
36 38 56 97 (3744)
36 38 57 90 (3528)
36 38 57 94 (3528)
36 38 57 97 (3408)
36 38 67 71 (3488)
36 38 67 90 (4232)
36 38 67 94 (4232)
36 38 67 97 (3936)
36 38 71 90 (3992)
36 38 71 94 (3992)
36 38 71 97 (3696)
36 38 90 120 (3752)
36 38 90 94 (6608)
36 38 90 97 (6272)
36 38 94 120 (3752)
36 38 94 97 (6272)
36 38 97 120 (3664)
36 41 57 90 (3432)
36 41 57 94 (3432)
36 41 67 90 (3528)
36 41 67 94 (3528)
36 41 90 94 (5664)
36 41 90 97 (5040)
36 41 94 97 (5040)
36 56 90 94 (4864)
36 56 90 97 (4864)
36 56 94 97 (4864)
36 57 90 94 (3800)
36 57 90 97 (3680)
36 57 94 97 (3680)
36 67 71 90 (4034)
36 67 71 94 (4034)
36 67 71 97 (3666)
36 67 79 90 (3444)
36 67 79 94 (3444)
36 67 88 90 (3408)
36 67 88 94 (3408)
36 67 90 104 (3472)
36 67 90 94 (5124)
36 67 90 97 (4684)
36 67 94 104 (3472)
36 67 94 97 (4684)
36 71 90 94 (4884)
36 71 90 97 (4444)
36 71 94 97 (4444)
36 79 88 90 (3776)
36 79 88 94 (3776)
36 79 90 94 (4744)
36 79 90 97 (4256)
36 79 94 97 (4256)
36 88 90 94 (4640)
36 88 90 97 (4152)
36 88 94 97 (4152)
36 90 94 104 (3776)
36 90 94 120 (3968)
36 90 94 97 (7568)
36 90 97 104 (3368)
36 90 97 120 (3880)
36 94 97 104 (3368)
36 94 97 120 (3880)
38 41 57 90 (3432)
38 41 57 94 (3432)
38 41 90 94 (4376)
38 41 90 97 (4208)
38 41 94 97 (4016)
38 56 90 94 (3744)
38 56 90 97 (3744)
38 56 94 97 (3744)
38 57 90 94 (3528)
38 57 90 97 (3408)
38 57 94 97 (3408)
38 67 71 90 (3680)
38 67 71 94 (3488)
38 67 71 97 (3384)
38 67 90 94 (4232)
38 67 90 97 (4128)
38 67 94 97 (3936)
38 71 90 94 (3992)
38 71 90 97 (3888)
38 71 94 97 (3696)
38 90 94 120 (3752)
38 90 94 97 (6272)
38 90 97 120 (3760)
38 94 97 120 (3664)
41 57 90 94 (3432)
41 67 90 94 (3528)
41 90 94 97 (5040)
5 36 90 94 (3740)
5 36 90 97 (3552)
5 36 94 97 (3552)
5 90 94 97 (3552)
56 90 94 97 (4864)
57 90 94 97 (3680)
67 71 90 94 (4034)
67 71 90 97 (3858)
67 71 94 97 (3666)
67 79 90 94 (3444)
67 88 90 94 (3408)
67 90 94 104 (3472)
67 90 94 97 (4684)
67 90 97 104 (3416)
71 90 94 97 (4444)
79 88 90 94 (3776)
79 90 94 97 (4256)
88 90 94 97 (4152)
90 94 97 104 (3368)
90 94 97 120 (3880)
1 31 36 90 94 (3496)
1 36 41 90 94 (3984)
1 36 41 90 97 (3456)
1 36 41 94 97 (3456)
1 36 67 90 94 (3588)
1 36 90 94 97 (3768)
1 41 90 94 97 (3456)
2 36 38 90 94 (3792)
2 36 38 90 97 (3696)
2 36 38 94 97 (3696)
2 36 90 94 97 (3800)
2 38 90 94 97 (3696)
24 36 90 94 97 (4488)
36 38 41 57 90 (3432)
36 38 41 57 94 (3432)
36 38 41 90 94 (4352)
36 38 41 90 97 (4016)
36 38 41 94 97 (4016)
36 38 56 90 94 (3744)
36 38 56 90 97 (3744)
36 38 56 94 97 (3744)
36 38 57 90 94 (3528)
36 38 57 90 97 (3408)
36 38 57 94 97 (3408)
36 38 67 71 90 (3488)
36 38 67 71 94 (3488)
36 38 67 90 94 (4232)
36 38 67 90 97 (3936)
36 38 67 94 97 (3936)
36 38 71 90 94 (3992)
36 38 71 90 97 (3696)
36 38 71 94 97 (3696)
36 38 90 94 120 (3752)
36 38 90 94 97 (6272)
36 38 90 97 120 (3664)
36 38 94 97 120 (3664)
36 41 57 90 94 (3432)
36 41 67 90 94 (3528)
36 41 90 94 97 (5040)
36 56 90 94 97 (4864)
36 57 90 94 97 (3680)
36 67 71 90 94 (4034)
36 67 71 90 97 (3666)
36 67 71 94 97 (3666)
36 67 79 90 94 (3444)
36 67 88 90 94 (3408)
36 67 90 94 104 (3472)
36 67 90 94 97 (4684)
36 71 90 94 97 (4444)
36 79 88 90 94 (3776)
36 79 90 94 97 (4256)
36 88 90 94 97 (4152)
36 90 94 97 104 (3368)
36 90 94 97 120 (3880)
38 41 57 90 94 (3432)
38 41 90 94 97 (4016)
38 56 90 94 97 (3744)
38 57 90 94 97 (3408)
38 67 71 90 94 (3488)
38 67 71 90 97 (3384)
38 67 90 94 97 (3936)
38 71 90 94 97 (3696)
38 90 94 97 120 (3664)
5 36 90 94 97 (3552)
67 71 90 94 97 (3666)
1 36 41 90 94 97 (3456)
2 36 38 90 94 97 (3696)
36 38 41 57 90 94 (3432)
36 38 41 90 94 97 (4016)
36 38 56 90 94 97 (3744)
36 38 57 90 94 97 (3408)
36 38 67 71 90 94 (3488)
36 38 67 90 94 97 (3936)
36 38 71 90 94 97 (3696)
36 38 90 94 97 120 (3664)
36 67 71 90 94 97 (3666)
